regulator,metoda,model,IAE,ISE,ITAE,Mp,ts,PASS,czas_obliczen,typ_walidacji,plik
regulator_p,siatka,wahadlo_odwrocone,17.602098894531395,7.045528691363434,,203.69424429580616,122.462,True,,rozszerzona,raport_rozszerzony_regulator_p_siatka_wahadlo_odwrocone.json
regulator_p,siatka,zbiornik_1rz,17.857000555156382,20.62093250533716,,4.250452502007027,79.27000000000001,True,,rozszerzona,raport_rozszerzony_regulator_p_siatka_zbiornik_1rz.json
regulator_pi,siatka,dwa_zbiorniki,19.894189559992522,48.066530651453895,,29.39400214368457,62.82000000000001,True,,rozszerzona,raport_rozszerzony_regulator_pi_siatka_dwa_zbiorniki.json
regulator_p,optymalizacja,zbiornik_1rz,17.83716157197276,20.617579029164556,,4.309740364034968,79.29,True,,rozszerzona,raport_rozszerzony_regulator_p_optymalizacja_zbiornik_1rz.json
regulator_pid,siatka,zbiornik_1rz,5.382473175536218,8.565975938886906,,5.2251973370599645,76.51,False,,rozszerzona,raport_rozszerzony_regulator_pid_siatka_zbiornik_1rz.json
regulator_p,ziegler_nichols,dwa_zbiorniki,41.37655716666998,53.86055760186121,,17.616025804878028,86.36000000000001,False,,rozszerzona,raport_rozszerzony_regulator_p_ziegler_nichols_dwa_zbiorniki.json
regulator_pid,optymalizacja,dwa_zbiorniki,20.344372233436207,43.423200720249625,,11.559746874687653,52.96,True,,rozszerzona,raport_rozszerzony_regulator_pid_optymalizacja_dwa_zbiorniki.json
regulator_pi,optymalizacja,zbiornik_1rz,9.850794530952214,18.432807357098994,,8.642189556988214,38.25,True,,rozszerzona,raport_rozszerzony_regulator_pi_optymalizacja_zbiornik_1rz.json
regulator_pid,ziegler_nichols,zbiornik_1rz,26.180643583177027,82.62426359925473,,17.810393010908506,77.51,False,,rozszerzona,raport_rozszerzony_regulator_pid_ziegler_nichols_zbiornik_1rz.json
regulator_pd,ziegler_nichols,dwa_zbiorniki,41.04185938391709,60.143362610269904,,7.781000886896818,86.18,False,,rozszerzona,raport_rozszerzony_regulator_pd_ziegler_nichols_dwa_zbiorniki.json
